sku,supplier,brand,category_slug,source_document,retail_price_tnd,active,media_status,copy_status,activation_note
AM30,Rossmax,Rossmax,mobilite-maintien-domicile,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
AM40,Rossmax,Rossmax,mobilite-maintien-domicile,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
NA100,Rossmax,Rossmax,nebulisation-respiration,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
NL100,Rossmax,Rossmax,nebulisation-respiration,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
AS175-S,Rossmax,Rossmax,nebulisation-respiration,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
AS175-M,Rossmax,Rossmax,nebulisation-respiration,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
AS175-L,Rossmax,Rossmax,nebulisation-respiration,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
CUFF-S,Rossmax,Rossmax,diagnostic-medical,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
CUFF,Rossmax,Rossmax,diagnostic-medical,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
CUFF-L,Rossmax,Rossmax,diagnostic-medical,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
CUFF-M,Rossmax,Rossmax,diagnostic-medical,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
EB100,Rossmax,Rossmax,diagnostic-medical,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
EB500,Rossmax,Rossmax,diagnostic-medical,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
MW701F,Rossmax,Rossmax,diagnostic-medical,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
NEBACC,Rossmax,Rossmax,nebulisation-respiration,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
S150,Rossmax,Rossmax,diagnostic-medical,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
SA310,Rossmax,Rossmax,oxymetrie,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
SB100,Rossmax,Rossmax,oxymetrie,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
TG100,Rossmax,Rossmax,thermometrie,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
V3,Rossmax,Rossmax,nebulisation-respiration,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
WB101,Rossmax,Rossmax,mobilite-maintien-domicile,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
X3,Rossmax,Rossmax,diagnostic-medical,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
Z1,Rossmax,Rossmax,diagnostic-medical,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
BP5,Rossmax,Rossmax,maternite-allaitement,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
TG380,Rossmax,Rossmax,thermometrie,LISTE DES PRIX ROSSMAX (1).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
GM550-21F,Pharmatec,Bionime,diabete-surveillance-glycemique,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
GM550-03F,Pharmatec,Bionime,diabete-surveillance-glycemique,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
GS550-02F,Pharmatec,Bionime,diabete-surveillance-glycemique,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
GS550-05F,Pharmatec,Bionime,diabete-surveillance-glycemique,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
GS550-0AF,Pharmatec,Bionime,diabete-surveillance-glycemique,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
10-0111,Pharmatec,Sterilance,soins-consommables,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
10-0115,Pharmatec,Sterilance,soins-consommables,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
